description,r,a,c,m,K,tau,V,w_r,w_m,tau_r,tau_m,B_c,P_c,B_0,P_0,t_f,kick_b,kick_p,B0_kick,P0_kick,t_kick,B_f,P_f,a_B,a_P,2T_B,2T_P,2T_B/tau,2T_P/tau,B_eq-B_min,P_eq-P_min,B_eq,P_eq
growth_80_Peq_kick,0.9,3E-08,150,0.0028,,14,1,12.6,0.0392,1.11111111111111,357.142857142857,15900,2380000,622,30000000,140,1,0.8,622,24000000,14,,2.90E+07,,,,,,,,,622,30000000
decay_80_Beq_kick,3.7E-05,1E-10,150,0.1,,260,1,0.00962,26,27027.027027027,10,256000,38500000,6670000,370000,1000,0.8,1,5330000,370000,100,,,,,,,,,,,6670000,370000
growth_decay_100_Peq_kick,0.1,3E-08,150,0.1,,200,1,20,20,10,10,1110,167000,22200,3330000,1000,1,2,22200,6670000,100,25700,1380000,35400,5310000,,,,,,,22200,3330000
growth_decay_90_crit_B_kick,0.1,3E-08,150,0.1,,200,1,20,20,10,10,1110,167000,22200,3330000,2000,,,1000,3330000,100,1870,8360000,103000,15500000,,,,,,,22200,3330000
growth_decay_90_crit_P_kick,0.1,3E-08,150,0.1,,200,1,20,20,10,10,1110,167000,22200,3330000,2000,,,22200,150000,100,8820,211000,103000,15500000,,,,,,,22200,3330000
growth_decay_90_crit_B_P_kick,0.1,3E-08,150,0.1,,200,1,20,20,10,10,1110,167000,22200,3330000,2000,,,1000,150000,100,624,243000,162000,24200000,,,,,,,22200,3330000
growth_decay_50_crit_B_P_kick,0.1,3E-08,150,0.1,,200,1,20,20,10,10,1110,167000,22200,3330000,2000,,,556,83300,100,3610,14300,191000,28600000,,,,,,,22200,3330000
growth_decay_50_crit_B_P_short_kick,0.1,3E-08,150,0.1,,200,1,20,20,10,10,1110,167000,22200,3330000,1000,,,556,83300,100,5030,11000,191000,28600000,,,,,,,22200,3330000
growth_decay_1e4_B_kick,0.1,3E-08,150,0.1,,200,1,20,20,10,10,1110,167000,22200,3330000,300,,,10000,3330000,100,10300,2730000,31800,4770000,130.900000000067,130.920000000067,0.654500000000335,0.654600000000335,12200,1830000,22200,3330000
growth_decay_5e3_B_kick,0.1,3E-08,150,0.1,,200,1,20,20,10,10,1110,167000,22200,3330000,300,,,5000,3330000,100,9920,7650000,55300,8300000,141.070000000072,141.080000000072,0.705350000000361,0.705400000000361,17200,2580000,22200,3330000
growth_decay_1e3_B_kick,0.1,3E-08,150,0.1,,200,1,20,20,10,10,1110,167000,22200,3330000,300,,,1000,3330000,100,9920,5280,103000,15500000,0,0,0,0,21200,3180000,22200,3330000
growth_decay_5e2_B_kick,0.1,3E-08,150,0.1,,200,1,20,20,10,10,1110,167000,22200,3330000,300,,,500,3330000,100,9920,1180000,750,18300000,0,0,0,0,21700,3260000,22200,3330000
growth_decay_1e2_B_kick,0.1,3E-08,150,0.1,,200,1,20,20,10,10,1110,167000,22200,3330000,300,,,100,3330000,100,162000,4970000,165000,24700000,0,0,0,0,22100,3320000,22200,3330000
growth_decay_1e6_P_kick,0.1,3E-08,150,0.1,,200,1,20,20,10,10,1110,167000,22200,3330000,300,,,22200,1000000,100,16100,1070000,45900,6880000,136.42000000007,136.43000000007,0.682150000000349,0.682150000000349,15600,2330000,22200,3330000
growth_decay_5e5_P_kick,0.1,3E-08,150,0.1,,200,1,20,20,10,10,1110,167000,22200,3330000,300,,,22200,500000,100,4140,1710000,68100,10200000,148.420000000076,148.440000000076,0.74215000000038,0.74215000000038,18900,2830000,22200,3330000
growth_decay_1e5_P_kick,0.1,3E-08,150,0.1,,200,1,20,20,10,10,1110,167000,22200,3330000,300,,,22200,100000,100,107000,1380000,114000,17200000,182.740000000094,182.740000000094,0.913700000000468,0.913700000000468,21600,3230000,22200,3330000
growth_decay_5e4_P_kick,0.1,3E-08,150,0.1,,200,1,20,20,10,10,1110,167000,22200,3330000,300,,,22200,50000,100,25300,50400,133000,20000000,198.700000000102,198.680000000102,0.993500000000508,0.993400000000508,21900,3280000,22200,3330000
growth_decay_1e4_P_kick,0.1,3E-08,150,0.1,,200,1,20,20,10,10,1110,167000,22200,3330000,300,,,22200,10000,100,614,142000,175000,26200000,236.340000000121,236.340000000121,1.1817000000006,1.1817000000006,22200,3320000,22200,3330000
growth_decay_1e4_B_1e6_P_kick,0.1,3E-08,150,0.1,,200,1,20,20,10,10,1110,167000,22200,3330000,300,,,10000,1000000,100,5070,2410000,56800,8520000,141.880000000073,141.880000000073,0.709400000000363,0.709400000000363,17400,2620000,22200,3330000
growth_decay_5e3_B_5e5_P_kick,0.1,3E-08,150,0.1,,200,1,20,20,10,10,1110,167000,22200,3330000,300,,,5000,500000,100,93000,3850000,91800,13800000,164.740000000084,164.740000000084,0.823700000000421,0.823700000000421,20700,3110000,22200,3330000
growth_decay_1e3_B_1e5_P_kick,0.1,3E-08,150,0.1,,200,1,20,20,10,10,1110,167000,22200,3330000,300,,,1000,100000,100,77.7,2660000,172000,25700000,233.300000000119,233.300000000119,1.1665000000006,1.1665000000006,22100,3320000,22200,3330000
growth_decay_5e2_B_5e4_P_kick,0.1,3E-08,150,0.1,,200,1,20,20,10,10,1110,167000,22200,3330000,300,,,500,50000,100,9920,2.99,206000,30900000,,264.840000000135,,1.32420000000068,22200,3330000,22200,3330000
growth_decay_1e2_B_1e4_P_kick,0.1,3E-08,150,0.1,,200,1,20,20,10,10,1110,167000,22200,3330000,300,,,100,10000,100,2230,493,284000,42600000,,,,,22200,3330000,22200,3330000
growth_decay_logistic_kick,0.1,3E-08,150,0.1,10000000,200,1,20,20,10,10,1110,167000,22200,3330000,200000,1,2,22200,6670000,100,,,,,,,,,,,22200,3330000
